1:0.589583;82.380000,45.460000,3.141593;82.663000,45.460000,3.141593;
2:0.0354167;82.663000,45.460000,3.141593;82.680000,45.460000,3.141593;
3:0.25;82.680000,45.460000,3.141593;82.800000,45.460000,3.141593;
4:0.270833;82.800000,45.460000,3.141593;82.930000,45.460000,3.141593;
5:0.6875;82.930000,45.460000,3.141593;83.260000,45.460000,3.141593;
6:0.0625;83.260000,45.460000,3.141593;83.290000,45.460000,3.141593;
7:0.0625;83.290000,45.460000,0.000000;83.260000,45.460000,0.000000;
8:0.3125;83.290000,45.460000,3.141593;83.440000,45.460000,3.141593;
9:0.416667;83.440000,45.460000,3.141593;83.640000,45.460000,3.141593;
10:0.75;83.640000,45.460000,3.141593;84.000000,45.460000,3.141593;
11:0.958333;84.000000,45.460000,3.141593;84.460000,45.460000,3.141593;
12:0.0625;84.460000,45.460000,3.141593;84.490000,45.460000,3.141593;
13:0.0625;84.490000,45.460000,0.000000;84.460000,45.460000,0.000000;
14:0.520833;84.490000,45.460000,3.141593;84.740000,45.460000,3.141593;
15:0.835417;100.599000,45.460000,3.141593;101.000000,45.460000,3.141593;
16:0.835417;101.000000,45.460000,0.000000;100.599000,45.460000,0.000000;
17:0.20625;101.000000,45.460000,3.141593;101.099000,45.460000,3.141593;
18:0.416667;101.099000,45.460000,3.141593;101.299000,45.460000,3.141593;
19:0.729167;101.299000,45.460000,3.141593;101.649000,45.460000,3.141593;
20:0.189583;101.649000,45.460000,3.141593;101.740000,45.460000,3.141593;
21:0.189583;101.740000,45.460000,0.000000;101.649000,45.460000,0.000000;
22:0.122917;101.740000,45.460000,3.141593;101.799000,45.460000,3.141593;
23:0.729167;101.799000,45.460000,3.141593;102.149000,45.460000,3.141593;
24:0.10625;102.149000,45.460000,3.141593;102.200000,45.460000,3.141593;
25:0.10625;102.200000,45.460000,0.000000;102.149000,45.460000,0.000000;
26:0.729167;102.149000,45.460000,0.000000;101.799000,45.460000,0.000000;
27:0.122917;101.799000,45.460000,0.000000;101.740000,45.460000,0.000000;
28:0.729167;101.649000,45.460000,0.000000;101.299000,45.460000,0.000000;
29:0.20625;102.200000,45.460000,3.141593;102.299000,45.460000,3.141593;
30:1.14583;102.299000,45.460000,3.141593;102.849000,45.460000,3.141593;
31:0.189583;102.849000,45.460000,3.141593;102.940000,45.460000,3.141593;
32:0.189583;102.940000,45.460000,0.000000;102.849000,45.460000,0.000000;
33:0.852083;102.940000,45.460000,3.141593;103.349000,45.460000,3.141593;
34:0.235833;82.380000,45.460000,0.000000;82.663000,45.460000,0.000000;
35:0.0141667;82.663000,45.460000,0.000000;82.680000,45.460000,0.000000;
36:0.1;82.680000,45.460000,0.000000;82.800000,45.460000,0.000000;
37:0.108333;82.800000,45.460000,0.000000;82.930000,45.460000,0.000000;
38:0.275;82.930000,45.460000,0.000000;83.260000,45.460000,0.000000;
39:0.025;83.260000,45.460000,0.000000;83.290000,45.460000,0.000000;
40:0.025;83.290000,45.460000,3.141593;83.260000,45.460000,3.141593;
41:0.125;83.290000,45.460000,0.000000;83.440000,45.460000,0.000000;
42:0.166667;83.440000,45.460000,0.000000;83.640000,45.460000,0.000000;
43:0.3;83.640000,45.460000,0.000000;84.000000,45.460000,0.000000;
44:0.383333;84.000000,45.460000,0.000000;84.460000,45.460000,0.000000;
45:0.025;84.460000,45.460000,0.000000;84.490000,45.460000,0.000000;
46:0.025;84.490000,45.460000,3.141593;84.460000,45.460000,3.141593;
47:0.208333;84.490000,45.460000,0.000000;84.740000,45.460000,0.000000;
48:0.416667;84.740000,45.460000,0.000000;85.240000,45.460000,0.000000;
49:0.458333;85.240000,45.460000,0.000000;85.790000,45.460000,0.000000;
50:0.125;85.790000,45.460000,0.000000;85.940000,45.460000,0.000000;
51:0.375;85.940000,45.460000,0.000000;86.390000,45.460000,0.000000;
52:0.0416667;86.390000,45.460000,0.000000;86.440000,45.460000,0.000000;
53:0.375;86.440000,45.460000,0.000000;86.890000,45.460000,0.000000;
54:0.0833333;86.890000,45.460000,0.000000;86.990000,45.460000,0.000000;
55:0.375;86.990000,45.460000,0.000000;87.440000,45.460000,0.000000;
56:0.125;87.440000,45.460000,0.000000;87.590000,45.460000,0.000000;
57:0.333333;87.590000,45.460000,0.000000;87.990000,45.460000,0.000000;
